sample	group	ABCC3	ACADSB	ANXA2	ANXA4	AOX1	APOD	AQP3	ARG2	ARID5B	BCL6	C10orf10	C1R	C4BPA	CD55	CEBPD	CFD	CLDN4	COMP	CP	CRABP2	DDX52	DEFB1	DKK1	DPP4	DYNLT3	EDN3	EDNRB	EFNA1	ENPEP	G0S2	GADD45A	GBP2	GNLY	GPX3	HABP2	ID4	IDO1	IGFBP1	IL15	LAMB3	MAOA	MAP3K5	MMP7	MT1G	MT1H	NDRG1	NNMT	OLFM1	PAEP	PRUNE2	S100P	SERPING1	SFRP4	SLC1A1	SPP1	TCN1	TSPAN8
NOT12009_LH7	receptive	0.8508551513960426	1.0375939882535898	53.066122849857145	19.853286865907663	0.5812772816468014	0.1038998039658534	4.967533870691748	0.8213700718922193	2.180491831877977	0.7272986277609738	3.4848555870709204	10.218686125182176	4.608096711026092	13.689501198203656	10.301525158073868	1.2496057504001286	3.8386765411167993	0.4605288608216204	16.567806578338782	0.5700448704072497	4.040859943428731	18.58823655005315	0.6613082117286074	4.213558266236838	7.9441228491729525	0.05756610760270255	1.3605258113907017	3.858333260786015	0.0954754955361896	1.0446142452783098	2.9737808756713173	5.654115007709346	16.61694837751182	31.70207667222978	1.6188712699003913	19.971227183922956	8.76128076685034	1.2804948813088959	2.994841646745477	3.5564622087230626	7.124156828685677	2.8726891745153518	1.0024927031299908	65.97777956972185	20.945638858954066	1.03057373122887	6.652395556624505	0.06458636462742237	61.533956873074196	0.9659873666014477	14.613367022656785	20.882456545731586	0.5812772816468014	1.359121759985758	21.469350032998165	0.9056131561888573	3.33602613814686
NOT12010_LH7	receptive	1.2147464903678578	1.1514443372309882	37.3679158465541	12.193304393881137	2.356368079698297	0.26303136044802666	4.6341541761922045	0.6384786135356664	1.9929264073779946	0.7072378488395075	1.6262104857575093	9.13406413107691	4.724741740163932	12.121270909277113	9.08822464087435	0.8534876509143439	1.7833744521662889	0.4791318142600984	9.77363416104597	0.6941408516387758	3.1814789033443893	3.6507879697039387	0.6908666023385929	5.938396814098395	5.025972675780759	0.08949614753833272	2.7056213383844736	2.9086247949958137	0.10477597760585296	3.1476449939091657	3.4652471760269075	4.199770435701272	50.70502466263246	24.63654315100957	0.9331610505521278	17.244379647629966	11.542820199578134	1.440669692080478	2.2057526118898836	3.322271623252254	6.5233960223977405	2.7547350778872173	2.0289431496800066	10.1894638221692	1.6185705707237492	1.0466683596251352	6.731856561176052	0.08294764893796693	69.17069929923065	0.9811833736214771	0.6799524380046499	22.739661389770273	1.5945594091890747	1.6163877378569607	16.305761514910866	2.7820204887220745	2.7405466642530913
NOT12012_LH7	receptive	1.3454443133415026	1.2936037170389179	36.635628847510375	10.778021649886231	3.310564591788321	0.11573714523367763	6.107545601602197	0.5726577498541342	3.1779491128747317	0.7522914440189047	3.118874944995042	10.06189806375285	7.473485034412163	19.72112730971353	9.617033411760902	0.4111079846321258	2.3099205236221496	0.781225730327324	9.174579950294655	0.737824300864695	4.079734369487137	7.680847419622502	0.8089544213728926	5.041799389242082	4.225611396292084	0.039784643674076685	3.138164469200655	2.3340324288791656	0.14587702680494785	1.7312347974537614	3.247873638120079	13.949942786446707	14.233257673216649	24.249343116981166	1.670955034311221	19.882677074935536	28.35560058225102	1.4503311012095228	3.480553523850285	3.0151937523898726	5.33717022864053	3.724083766946148	1.6347871764256967	14.258575173736515	3.7976250779800473	1.2815477644104096	7.307112888138752	0.04701821525118154	72.02708338375872	0.851150255572671	0.07474690629675014	29.05243464417879	1.9819986121267295	1.3599114564957122	11.834123100143538	0.6220871556310174	3.971230795830564
NOTNV01_LH7	receptive	1.2895446021970423	1.2478926447617373	61.55159661959629	21.64402316168188	1.2345640183824396	0.21992233525841032	11.02277401567911	0.5664666211201478	1.687737315278558	0.6730956321545285	3.7869959700179288	11.062759894817003	10.19639918016266	27.48529367240905	11.667546316777631	1.6327567314639553	17.063973922095744	2.8823154545231047	17.95365973291386	1.1179385375635857	3.47710540669926	13.641849099211088	0.9213412984689462	5.226487618982069	8.548647744021995	0.029989409353419587	2.9123048638765243	3.7470100908800363	0.03165548765083179	4.065231045685766	3.2655134629279106	4.994902735641773	26.508971790125504	49.36756603062088	2.617409005234565	20.036257604679108	13.860105356172086	1.0496293273696855	1.3495234209038813	6.247793615295747	8.701926947383917	2.2691986410754152	3.2921707156865057	36.60040803755119	8.15878542242754	1.7827037782310533	7.9405291654665415	0.06997528849131238	83.20228409446781	0.9096787503870608	11.540924366174304	26.743888830060623	0.4648358449780036	1.4394916489641403	26.414005327173008	4.520070420879296	3.302167185470979
NOTNV02_LH7	receptive	1.3291057223815304	0.5132190413156404	42.443379210085936	11.401851874613339	0.38738168022382474	0.2763487145545756	2.9345601593176363	0.5132190413156404	1.3488449162782856	0.8693469978696025	3.557989699890161	9.800509769739056	4.796624116911563	18.099195870499972	8.483741043542999	1.2649533422170753	9.80791196745034	0.22124346492613345	6.971225311204115	0.8931985238281819	2.608040993608807	7.803561320517302	0.8915535910034522	2.0956444187055316	7.315016271572605	0.023029059546214634	1.9023648117998018	3.4880800548391524	0.0978735030714122	1.5421245231840157	1.9673396583766216	4.645290297036437	15.779018121218849	31.14269070419347	1.9755643225002697	13.48022449865921	7.8339925777748	0.4720957206974	2.6072185271964425	5.288459031505718	6.021276604922762	2.4229860508267254	0.5370705672742199	20.671870808377093	4.158390180916471	0.8800390612303449	4.034197752649385	0.05510524962844216	42.99607663919509	0.5888859512532028	9.229718079557879	18.015304296438764	0.3437909603684899	1.2254749544235644	7.419469505942936	5.757264886553658	1.8653538232433853
NOTNV03_LH7	receptive	1.0690942727566577	1.4712195048958097	47.45077739241993	14.996476935122935	2.2511723720660077	0.16522366033511982	7.032939482941241	0.45072042635536363	2.5366691380862516	0.8564902980607314	2.282759248306545	12.396634044555608	8.035215363650607	22.622277787501957	15.223659468083724	0.6536053622080475	5.707505560694066	0.36324907676618257	14.314929336240565	0.5381917759445447	4.361418680905001	19.711425653950876	0.8990110929999167	2.3592966791970786	5.383132639300853	0.012148798554052929	1.6850383594471412	2.92421581196054	0.08747134958918108	6.647822568777762	3.6725818028902	5.894597058426481	34.37016598927114	34.16363641385224	2.092023111007914	12.170666391450224	7.294138651853379	9.29383089385049	3.1708364226078145	6.423069795527783	4.532716740517148	2.8233807839619005	6.561566099043986	31.481181693117353	11.223060104234095	1.4748641444620254	20.18036927813732	0.03887615537296937	60.69296781633762	1.0350776368053094	11.71994596509486	23.28803194826406	0.36446395662158787	0.6074399277026464	52.34795808955867	3.0444889176456638	0.4264228292472578
NOTNV04_LH7	receptive	0.5170358366808805	0.6786095356436557	74.76217018131311	18.098273955067853	0.19994745246643428	0.117140931748012	5.408679572778898	0.8159471797620146	1.191606029850467	0.7533373714139392	4.2150538716913974	14.565868961494182	6.854764178495737	17.76502820095713	14.101344576976203	2.4195661419675583	14.913252414264148	0.23832120597009337	13.56613169916201	0.7997898098657371	2.5791201696932986	21.673092044619253	0.8018094811027717	2.556903786085917	7.957504673916677	0.04645243845179786	2.0398679494050365	3.7565885008845226	0.06260980834807538	1.0461897007839691	1.9752384698199263	5.372325490512274	57.62525973507376	37.15387207649015	1.1572716188208771	20.31789264456898	10.750709994735653	0.6059013711104069	2.484195621552668	3.4819132126478047	7.375839357650686	2.011592552086551	1.086583125524663	94.62765646878631	14.996058934982571	1.1855470161393629	5.832810532556183	0.060590137111040686	61.64642516800983	1.4299272358205601	17.14498913118748	28.620761100018587	0.7452586864658005	0.7270816453324882	24.353195776164288	2.193362963419673	2.8194610469004266
NOTNV05_LH7	receptive	1.453458965241831	0.8612108727504012	64.5868406368674	16.853234309823236	0.4239807373540437	0.1868165123966255	9.311676944138185	1.9860847665428485	3.0460366099279574	1.6058270427284405	11.517701718183444	8.204027267800745	6.682996372543114	27.191739602240744	12.359038493870374	1.3289146236440808	28.3802106066363	1.1805213655701654	13.666754080646752	0.939382321200053	6.32658756520487	25.83765112231627	0.5021521858036955	2.542559484320031	16.328558147347607	0.04769783295232991	6.667097094892337	5.770112847427688	0.09009590668773429	1.593902584490358	3.3269238484250114	8.794950420487943	17.776717353372515	29.428237991783327	1.3355393226652377	19.871447183862337	10.386203125369839	0.4412049548090517	2.2974456205372245	6.690946011368502	8.392168720001603	4.417349307307442	2.19807513521987	58.545115129572274	11.002300134337434	1.7595200600192813	4.274255808450453	0.06359711060310655	72.51660536519225	1.850940906511247	21.714438451548194	22.243089433436516	0.5962229119041239	1.854915725923941	25.20035507648097	12.784344171028648	2.1729012789394737
NOTNV07_LH7	receptive	1.6632227284661623	1.6383675942923217	41.23984574735433	13.49944474816714	3.488003829062288	0.1770928309886138	4.971026834768106	0.715620738088492	2.3394895041127404	0.7798298347042467	1.228257880423953	9.224361670266568	5.789175001323691	15.559313992824174	8.613339621826322	1.0004191504970814	10.900011965819651	1.5358401658252296	11.761656617179456	0.5250647094223813	4.989668185398487	5.948662112272501	1.2344716639674131	8.304721705834469	8.169054098468921	0.04246085421364425	2.7247440838072685	2.962939119639907	0.09217112256132531	4.1300947952198355	3.8960422817495037	5.305535515524377	13.08312125075531	28.303784040460908	2.03294284930204	18.493255455927933	12.834569909016905	1.3949944055068	1.9925532562695494	6.331845430785876	8.518061607493266	3.4403648218957605	3.976821467814485	19.98870602872067	4.427320774715345	1.2634693205035605	7.690592765622491	0.10977684260112902	62.60904735331373	2.543508730456348	1.6860066014588495	22.68548808658237	0.6897299733240748	1.5140919234231192	16.216939417840372	6.934582434501508	3.7334482790289636
NOTNV08_LH7	receptive	1.079648357530078	1.0011554042391395	50.165883147621855	17.383967655264822	1.0648383663431085	0.10070794007139273	3.8535597068494694	0.6012856421909625	1.7149969794510704	0.7864105320280815	2.4466105440873647	10.84535654621778	9.081486595849709	19.229292557161227	11.009747448393142	1.1699893037705922	6.343119225379046	0.7286515663989004	14.1390985861998	0.7790055364345968	4.238619477710676	10.722433619365933	0.6190576316153259	4.451883350803038	6.189095317034562	0.04294897444221161	2.2422326657071854	3.120465143094478	0.07849295329093846	3.5351448963296246	3.022719201260479	4.807323139290307	24.030691699976742	38.77255692748621	1.8912358745760078	15.828918580633022	11.268922294165108	3.9616726425143467	2.630254434805787	5.814402540004234	5.884009498582991	2.83759431142336	5.373064802632542	32.32132476644228	7.258376680733762	1.1033443434292292	10.196678932228515	0.05923996474787808	72.30978197037868	1.3343802059459537	4.87841109698776	23.89147778281923	0.8885994712181712	0.48576771093260024	34.043726741486836	1.666124008534071	3.1648951166553867
