sample	group	ABCC3	ACADSB	ANXA2	ANXA4	AOX1	APOD	AQP3	ARG2	ARID5B	BCL6	C10orf10	C1R	C4BPA	CD55	CEBPD	CFD	CLDN4	COMP	CP	CRABP2	DDX52	DEFB1	DKK1	DPP4	DYNLT3	EDN3	EDNRB	EFNA1	ENPEP	G0S2	GADD45A	GBP2	GNLY	GPX3	HABP2	ID4	IDO1	IGFBP1	IL15	LAMB3	MAOA	MAP3K5	MMP7	MT1G	MT1H	NDRG1	NNMT	OLFM1	PAEP	PRUNE2	S100P	SERPING1	SFRP4	SLC1A1	SPP1	TCN1	TSPAN8
Oulu-10_LH10	post-receptive	0.3601218439527497	1.1311368082188007	52.322752107941476	20.300245452720084	2.2174059768631604	0.11216909893610236	3.2351929587886366	0.8690153349154878	1.7415728519026419	0.26212147330331287	1.7521993981176411	9.42928867477593	4.918910170187394	12.330335791470706	14.06836646130168	1.0543895299993622	1.1948960855087958	0.9823651612088122	13.377640957326735	0.78754514726716085	5.307369470713475	10.064519992961438	0.9374975216343713	11.149608434248576	9.327746122054828	0.024795274501664733	3.2706147795053004	4.629631967667972	0.07674727821943846	3.079336947635315	5.682840770310112	5.6545033137367815	50.466648702388284	46.707212796993026	2.9624449392703247	30.1982828883132	12.46139652812236	0.9717386149938131	4.162063934208009	3.664977716817492	10.38213565205419	4.105389021061346	0.6600265926871708	30.317536351392636	7.504703082503859	0.8572080613432664	4.729993793031853	0.08737382443443763	74.31734131827531	1.179546629864908	0.8536658792716001	23.830620250814253	1.2751855457999006	1.9186819554859615	31.29517860317256	4.5044748678024265	5.53170766858568
Oulu-15_LH10	post-receptive	1.881986579859005	0.6729847042043048	54.18382915924365	19.743079649171687	2.9408509676873043	0.06189878884070905	6.758820943202529	0.8718510257989232	3.131815316238428	0.7954652863784737	4.94268413870598	9.478416665671979	9.600897247846149	20.695267400912808	19.9498479438098	0.6769356907260522	7.766322506248112	0.6584977536245643	14.8886342094514	0.5057262747836654	5.1007235995758755	8.381359408133456	0.8560470797119336	13.849524754231837	10.961353606834498	0.021071928115986058	4.753036785662106	6.293921529143586	0.10404264507268117	7.2619132269716955	4.999314945517693	7.870365151320793	72.4808477414558	63.7794584250608	4.455395801023802	31.45775468615269	14.912340128581885	2.0176371171056653	3.5387669279784086	4.700356965372141	10.344999709441906	6.063447315374988	1.1681750149299772	22.866992992366622	3.6191036539206056	1.6093685098584352	6.803598790448999	0.07901973043494773	85.3426258652508	2.157238640874073	1.6633653256556495	26.802175568027018	1.5066428602930033	1.8056008404385555	44.93983769386202	11.1865598385741	7.689936766827662
Oulu-2_LH10	post-receptive	0.4115019437659419	1.237888039054806	51.656459072360796	19.427401356095096	2.0980962119134734	0.0304398698128231	2.7339512702257784	0.952655184882797	2.1161346532840355	0.5028215532044112	3.9842407377228457	9.310090552381228	4.839939300238873	23.97759819181932	15.174838802985144	0.5569368773160966	1.3596475183060983	1.1307847934170951	11.147756767007214	0.68771557725267	5.969596691070308	15.047442310805552	1.0552488201778674	6.891812006140282	8.094750565039623	0.07440857065356757	2.974088020971383	4.848958520924153	0.1533267516497756	4.332608136691821	4.667446704632876	6.96960278455083	16.1060733387404	23.802850791042005	2.6189562064884466	20.484904981444284	11.931301564040995	0.6313454479696643	3.328092432868659	5.131936569924842	8.622374975128558	5.147720206124084	0.6200714221130631	54.09503086514363	18.505186041025123	1.5310127113264358	6.310072271939663	0.06989896031092711	67.0443769640357	2.800468022779725	2.0293246541882066	20.739697965803472	1.600911671637363	1.2029385588993424	14.508543874860017	2.521999584121677	2.759881529695961
Oulu-34_LH10	post-receptive	0.9359216699603734	1.1402496170763228	46.21997835932102	18.03767248271872	2.5506108130229985	0.205324668809198	3.0958175792299465	1.242911951480922	2.2226893759442308	0.851200326034248	2.825706000359594	11.34767647763456	2.384158290250493	14.973749997672726	16.166825864491223	1.8987548256384572	5.597589029283767	1.980486004484837	13.508569108597381	0.6538494307710383	6.835517372298446	13.309224769947674	1.3814562668424681	7.479399586136999	6.101930206067525	0.03787542434344429	1.6784793314305313	5.987307211343944	0.1086426645640902	9.575505307038666	7.3119503416712455	5.265680705432005	40.777877914184025	55.34297201762485	1.644590793860081	22.581726682238784	10.582194217219685	10.614089311403639	3.2243946776590073	8.476121279385533	7.901012862381129	4.030742527497072	0.395698512219668	42.13740630377502	13.927192219761766	1.293744757836597	12.160004657632115	0.10963938625733874	64.36629350660382	1.9545712404603752	2.54263703947701	27.413833451107678	0.7874101376663418	1.0625053250029373	26.33139369223977	10.245302284901681	2.015371263748536
Oulu-16_LH11	post-receptive	0.7041600443154726	0.8271086234816662	67.13790789871356	25.412034252337296	1.730860517092908	0.14210939669858746	7.412042915447674	0.9229127111436354	3.600636961295671	0.40716737256336855	7.999641319774417	6.078769362151937	10.219102683943367	34.54855074570041	25.416824456720395	0.21076899285633197	1.5360588721802375	2.3535870868957067	16.144585505836154	0.45187594680562077	7.998044584980051	14.13429639972917	0.5907918739154759	15.2839454516728	11.121257842760242	0.027144491504224568	5.31872360003365	6.177766919402639	0.1405126619042213	15.560180571098144	9.233917315819452	8.098638877025119	85.34068455448768	57.29084442185751	11.207481521656016	46.5687702776888	15.663968332731942	72.13249433549088	7.308255153813874	9.216353233081424	10.332470854343365	10.675768835132086	3.594250022118206	46.26060046237613	13.532327382253131	1.4546253976675636	11.609858689836285	0.03512816547605532	98.63509845238026	1.9176784880337476	0.9149290371718046	32.04008038375119	0.2379134843605565	1.87935685296896	76.57780400300625	9.039115670906781	2.661756902208374
Oulu-28_LH11	post-receptive	0.36859688498186927	0.6510730024446102	54.28364218265697	12.899742697465168	2.8626543123358257	0.19865190374412267	5.863101852702257	0.7050420167565973	1.088566501441782	0.4604590370022728	1.3400391425976368	8.561552568301611	3.743382694831445	17.000239508275932	9.8338433737842	0.877283551794854	1.8016464565001646	2.401046998433298	15.978273067048942	0.7061902936568523	5.352118632088762	8.16999014531464	0.3674486080816142	9.01856677460312	9.821212327881394	0.027558645606121066	3.304740918934018	4.278479730350296	0.05741384501275222	7.638337940496555	4.938738947996946	4.737790490452313	54.261824921552126	47.842957049126426	3.2679960581258563	21.43373662016066	15.412172555223206	3.933996660273782	1.7143774120807813	7.602741356588649	7.910479565857001	3.721565433726599	0.7188213395596578	33.1082678650537	8.95081843748807	0.7107834012578725	5.56799468933671	0.04593107601020178	74.95147811034751	2.20124681778892	0.9668491500147474	26.091147727595118	0.9415870582091365	1.527208277339209	43.38075301473532	6.914923493335877	4.579328278217117
Oulu-5_LH11	post-receptive	0.9086419122051203	0.998449543062603	44.773066083816545	21.8549511092592	1.7604937048974205	0.2852712980178866	7.1185754459093	0.6128050105569416	1.699741484023241	0.48073496517829034	2.4631063463118448	12.477977887374966	5.689577554912294	20.12879561616023	12.890036428956357	0.9429801240035696	7.444788457994568	1.691817281300522	24.38013037689901	0.3711168275140099	5.265632709246823	9.748090049398245	0.34866491979963915	7.303473509439411	6.471432223553909	0.010565603630292096	2.7074359302623496	4.0505882917632325	0.0660350226893256	8.323054259762598	4.580189173731624	4.260579663915288	72.98851057851158	67.33591263630531	2.896296095153821	21.738729469325985	10.63163865298142	4.660751901412601	3.3532584521639537	7.178006966329693	7.456674762078647	3.645133252450773	1.4752224068795339	46.3922448401588	15.660865981000459	1.266551735181265	11.450472934329058	0.06471432223553908	81.7790927989146	2.0114267911168575	2.0708583115372505	24.707664089438065	0.9601492299027942	1.147688694340479	30.607233016502413	3.5143839075259082	1.5280504250309943
Oulu-39_LH12	post-receptive	0.3365643030601501	0.49610452464061094	80.98523905322678	17.107956911395164	2.8826514008853117	0.2994111007742894	4.593884188522309	0.9069752322724826	2.1789260399413615	0.3999432951948537	6.012262322847228	10.41819501745283	2.6597321871701474	24.92979873381255	25.683790191966782	0.7124672908935645	1.7877246746961222	2.0106438884112867	14.135700728526306	0.27974175838765725	5.7347060469469735	18.034601486054278	0.6687576411454932	12.31519381651913	10.068517819468259	0.05026609721028216	4.471497169227709	6.547705532261102	0.1573547390930572	6.604528076933596	7.150898698784489	6.3990927231176595	131.93757776455365	88.57979069695419	4.5305051963876055	44.38277835419175	15.602159477574103	24.529855438617695	7.9048901569387215	6.772810228463671	8.9932604356657	8.488413981075475	1.8030230521079471	8.429405953915579	1.5735473909305722	1.0446606289789075	5.706294774610727	0.0786773695465286	135.89330106675413	1.8205069120071757	0.5660399642375252	30.68635960563356	1.1014831736514004	2.28820016431154	27.14369249355237	6.9083101426826925	10.280509620746404
NOT12009_LH2	pre-receptive	0.018786909407141953	0.2991454036367988	19.71902914311169	2.0680051816630876	0.03179323130439408	0.017341762529669496	0.26301673169998735	0.03468352505933899	0.4711178820560213	0.1343986596049386	0.2167720316208687	2.66340569518174	0.010116028142307205	0.703786529329087	1.874355500081778	0.054915581343953405	0.05925102197637078	0.001445146877472458	0.2644618785774598	3.378753399530607	0.28035849422965686	0.2919196692494365	0.0722573438736229	0.15463071588955302	1.3598832117015829	0.9350100297246803	0.29480996300438145	0.447995532016462	0.04913499383406357	0.060696168853843234	0.21243659098845133	0.5534912540719514	3.7877299658553123	0.14017924711482843	0.030348084426921617	2.0997984129674814	3.09261431779106	0.08381851889340257	0.7702632856928201	0.052025287589008484	0.2760230535972395	0.6040713947834875	1.2919613084603774	0.24567496917031786	0.00722573438736229	0.2138817378659238	0.3569512787356971	0.5664975759692036	0.77604387320271	0.18064335968405726	0.013006321897252121	2.1980684006356084	11.93546806104503	0.037573818814283906	0.7240185856137015	0.08815395952581993	0.03468352505933899
NOT12010_LH2	pre-receptive	0.03434699790743474	0.24395175436819033	15.36367637167177	1.917267037038088	0.017613845080735765	0.05724499651239123	0.24395175436819033	0.02554007536706686	0.42361297419169514	0.1197741465490032	0.13122314585148145	2.783868215010288	0.02377869085899328	0.5627623503295077	1.2373726169216874	0.030824228891287588	0.39807289882462826	0	0.18494537334772554	4.2995395842076	0.34258928682031065	0.540745043978588	0.0449153049558762	0.08014299511734772	0.997824323823681	0.8392997180970592	0.41392535939729047	0.41656743615940084	0.048438073972023356	0.1867067578557991	0.2554007536706686	0.3734135157115982	7.057867723850821	0.13738799162973897	0.02377869085899328	3.576491243643397	1.5588252896451151	0.08630784089560524	0.6393825764307083	0.06076776552853839	0.2483552156383743	0.47997727845004956	2.7671350621835886	0.3672486699333407	0.014091076064588611	0.17789983531543122	0.21048544871479238	0.46852827914757134	0.21136614096882916	0.14531422191607005	0.014091076064588611	2.200849942837934	15.203390381437075	0.02554007536706686	0.8516294096535743	0.053722227496244085	0.018494537334772552
